Id_student,Sex,Durata_utilizare_smartphone,Varsta_utilizare_smartphone,Adictie_smartphone
1,F,6.2,13.4,38
2,F,8.1,12.2,42.8
3,F,7,16.5,42.2
4,M,8.7,16.3,39.4
5,F,5.5,11.5,37
6,F,5.1,9,40
7,F,5.7,13.6,39.7
8,F,7,12.9,43.6
9,M,6,13.7,41
10,F,9.1,12,42.8
11,M,9.2,11,42.3
12,M,5.7,13.8,36.8
13,M,7.5,10,42.5
14,M,9.3,11,41.8
15,F,6.3,18.1,38.6
16,M,5.2,10,40.7
17,M,5.8,12.6,36.9
18,F,7.7,13.7,40.1
19,F,8.6,10,45.5
20,M,9.2,11,41.8
21,M,6.9,11,35.7
22,F,9.5,9,42
23,F,6.7,11,42.9
24,M,7.2,9,40
25,M,6.8,12,38.2
26,M,6.8,15.3,39.2
27,F,5.8,14.8,41.9
28,M,6.4,17.7,36.8
29,M,6.8,14.1,39.7
30,F,7.1,16.2,42.5
31,F,7.2,15.7,39.9
32,F,7.2,16.6,38.1
33,M,8.1,12,40.3
34,M,6.7,14.2,40.7
35,F,7.2,16.1,39.2
36,F,6.9,11,41.8
37,F,10.1,12,41.6
38,F,7.3,14.1,42.8
39,F,7,13.9,38.2
40,M,8.6,12,39.7
41,M,7.8,11,40.3
42,F,5.8,12,40.2
43,M,8,16.2,41
44,M,8.6,17.9,41.7
45,M,7.2,14.3,39.3
46,F,7.1,16.8,39.8
47,M,5.4,13.4,44.5
48,F,9.1,19.3,42.4
49,M,7.4,15.6,42.8
50,F,8.5,17.3,36.9
51,M,8.5,16.3,41.4
52,F,7.8,12.9,44.3
53,F,5.4,15.4,40.5
54,M,6.3,14.6,38.1
55,M,4.8,12,38.9
56,F,8.5,15.2,40.8
57,M,5.3,15.4,38.9
58,M,6.2,16,38.9
59,M,6.2,13.9,43
60,M,7.3,11.7,41.4
61,M,5.6,11,44
62,F,6.7,12,38
63,M,8.2,13.7,39.4
64,M,5.7,12.4,39
65,M,5.7,15.3,42.6
66,M,7.4,10.9,42.7
67,M,6.4,16.6,41
68,F,8,16.4,38.3
69,M,7.6,11.9,42.6
70,F,6.8,18.3,39.3
71,M,7.6,13.2,40.7
72,M,6.8,12.2,39
73,F,4.1,10.8,36.7
74,F,7.5,17.6,41.8
75,M,4.4,13,39.9
76,F,7.2,15.8,40.8
77,M,6.2,15,40.6
78,F,7.9,11.3,40
79,F,8.2,13.4,39.7
80,M,6.9,14.6,42.1
81,F,8.3,14,41.9
82,M,8.9,18,43.6
83,F,10.7,13.3,44.7
84,F,6.6,12.4,42
85,F,8.7,14.8,42.8
86,M,6.3,17.2,38.5
87,M,9.6,13.3,42.1
88,M,8.5,15.7,40.7
89,M,7.6,17.5,38.5
90,M,8.5,14.6,39.9
91,F,5.8,13.1,38.4
92,F,9.2,14.3,41.3
93,F,5.6,15.3,39.2
94,M,7,16.2,41.7
95,M,8.4,15.5,44.1
96,M,8.5,11.6,37.8
97,F,6.7,13.3,39.7
98,M,7.4,15.7,41.2
99,M,7,15,42.3
100,M,6.9,15.1,41.8
101,F,6.5,13.9,38.5
102,F,6.2,13.3,41.3
103,M,5.9,14.9,38.6
104,F,7.8,14.5,44
105,F,8.8,17.4,41.2
106,F,8.8,18.4,44.5
107,M,6.1,12,38.8
108,M,8.1,12.7,39.4
109,M,7.4,15.1,42.9
110,F,9,12.8,43.1
111,M,8.3,16.3,39.4
112,F,7.4,12.8,43
113,M,8.2,15.9,40.7
114,M,8.3,15.3,42.8
115,F,7.2,15.3,40.3
116,M,5.7,15.9,38.9
117,M,6.9,15.9,41.1
118,F,6.5,15.7,42.5
119,M,7.6,14.9,40.3
120,F,8.2,13.9,38.2
121,M,8.6,16.2,42.8
122,M,7,16.1,40.3
123,F,7,16.2,41.9
124,M,7.1,12.7,40.3
125,M,7.5,11.7,43.9
126,F,5.7,14.1,42.3
127,M,6.9,13.9,39.5
128,M,7.3,14.1,39.9
129,F,7.3,13.6,42.2
130,M,6.3,13.3,38.2
131,F,4.8,18.8,38.2
132,M,6.5,14.2,41.2
133,F,6.7,17.5,35.1
134,M,6.9,14.4,41.1
135,F,8.3,19.1,41.9
136,M,4.5,13.7,39.4
137,M,7.4,15.2,39.3
138,F,9.3,13.3,37.8
139,F,7.1,16.2,39.6
140,M,7.9,14.7,43.7
141,F,5.6,17.2,38.7
142,F,7.4,16.3,42
143,M,7.8,15.8,42.2
144,F,7,12.1,40
145,M,5,16.7,39.7
146,F,11.2,14,44.9
147,F,7.5,17.1,41.5
148,M,5.6,16.9,44.5
149,F,8.5,16.9,43.1
150,F,8,18.9,41.3
151,F,8.7,18.2,42.5
152,F,7.3,15.6,38.8
153,M,7.4,9.8,38.5
154,M,6.6,14.1,38.7
155,F,6.1,18.1,43.6
156,F,6.6,14.9,41.3
157,M,7.1,15.8,40.8
158,F,7.5,12.7,39.9
159,M,7.4,12.3,41.4
160,M,7.5,18.8,38.6
161,F,7.6,17.8,43.9
162,F,5.8,12.2,39.9
163,M,6.6,16.3,40.9
164,F,5.6,18.5,41
165,F,4.6,15.2,37.5
166,F,6.3,17.2,36.5
167,F,7.3,16.3,39.9
168,F,7.2,13.8,40.3
169,M,6.5,16.9,40.6
170,M,7.7,14,41.7
171,F,8.6,17.9,41
172,F,7,17.8,37.6
173,F,6.5,12.9,39.8
174,M,6.2,15.2,40.7
175,M,5.2,13.1,35.7
176,F,8.5,16.2,42.8
177,M,8.7,15.8,44.9
178,F,6.3,11.4,38.7
179,M,10.5,17.7,38.7
180,F,7.2,11.1,33.8
181,F,7.5,16.3,41.3
182,M,5.7,17,37.9
183,M,8.9,16.8,37.3
184,M,8.1,15.3,41.5
185,F,7.9,13,40.5
186,F,5.2,12.5,38.7
187,F,6.6,15.4,41.9
188,M,8.7,14.6,39.7
189,M,6.5,11,41.1
190,F,6.6,15,40.5
191,M,7.3,11.7,38.9
192,F,6.7,12.3,38.3
193,F,7.1,12.9,39.8
194,F,6,15.6,40.9
195,F,7.8,17.6,36.8
196,F,5.5,15.2,37.9
197,M,5.1,15.5,41.6
198,M,7.5,15.2,46.6
199,M,5,14.2,44
200,F,6.4,11.3,39.2
201,M,4.4,14.6,39.7
202,F,9.3,13.4,44
203,F,7.3,14.9,41
204,M,6.4,15,42.2
205,F,7.4,15,42
206,M,8.1,13.7,42.4
207,F,8.2,14.1,42.7
208,M,7.8,16.3,40.2
209,M,6.8,14.1,41.6
210,M,5.7,17.7,38.9
211,F,6.3,15,44.6
212,F,7.3,18,41.2
213,F,6.7,12.7,38.1
214,M,5,12.8,36.8
215,F,7.6,14.9,41.2
216,F,6.6,14.6,37.9
217,M,7.3,14.5,41.4
218,M,5.7,16.2,41.2
219,M,7.2,15.9,41.7
220,M,7.3,10.9,43.2
221,M,5,16.1,39.1
222,M,8.9,16.5,41.7
223,F,7.7,17.4,40.1
224,M,6.5,11.4,37.8
225,F,4.9,14.6,37.3
226,F,7.4,17.9,40.2
227,F,7.2,11.8,42.6
228,M,8.9,17,42
229,F,8.8,11.6,40
230,F,5.9,19.8,39.9
231,M,7.2,13.9,46.1
232,F,8.6,16.8,40.9
233,F,8.1,13.1,42.7
234,F,8.2,11.1,41.7
235,M,7.5,13.6,41
236,M,6.6,16.5,40.8
237,M,7.7,14.7,42.2
238,M,8.4,15.1,40.7
239,M,8.1,17.5,40.4
240,M,8.2,14.5,44.4
241,M,6.5,13.8,39.4
242,M,4.5,12.8,41
243,M,3.9,12.7,38.5
244,M,6.8,16.1,40.4
245,F,6.9,19.6,42.1
246,M,8.4,13.8,39.5
247,F,7.5,12,37.7
248,F,8,10.9,40.6
249,F,4.9,16.5,35.4
250,M,7.4,15.6,43.4
251,F,5,12.7,38.7
252,M,4.2,17.4,36
253,F,7.8,18,40.7
254,F,10.2,13.2,37
255,M,8.1,19.3,45.1
256,M,8.2,19,46.1
257,M,7.7,13.6,40.9
258,F,8.1,13.9,40.4
259,M,7.2,17.7,37.2
260,F,7.8,15.8,41.6
261,M,7.3,15.8,42
262,F,6.6,17,41.1
263,F,8.6,14.6,46.1
264,F,7.8,14.9,40.2
265,M,5.5,8.4,38.2
266,F,8.8,14,38.2
267,F,6.7,18.9,37.6
268,F,7.8,17.4,44.4
269,F,8.3,14.4,40.6
270,M,7.5,11.8,38.6
271,F,8.7,15.7,44.8
272,F,4.4,14.8,35.8
273,M,8.9,17.9,41.7
